business_name,category,source_city,slug,address,phone,email,website_url,website_score,google_rating,review_count,photo_count,priority_tier,status,preview_url,outreach_status
Portland's Pampered Pets,pet groomer,"Portland, Oregon",portlands-pampered-pets,"4236 SE Hawthorne Blvd, Portland, OR 97215, USA",(503) 233-2799,,,0,4.5,215,10,A,new,,not_contacted
Lucky Dog Pet Salon,pet groomer,"Medford, Oregon",lucky-dog-pet-salon,"622 Crater Lake Ave, Medford, OR 97504, USA",(541) 245-2949,,,0,4.5,168,10,A,new,,not_contacted
Our Spot,cafe,"Portland, Oregon",our-spot,"1816 S River Dr, Portland, OR 97201, USA",,,,0,4.8,130,10,A,new,,not_contacted
Amanda's Classy Clips Pet,pet groomer,"Medford, Oregon",amandas-classy-clips-pet,"612 E Main St, Medford, OR 97504, USA",(541) 608-7017,,,0,4.8,125,10,A,new,,not_contacted
Laura's Laundramutt Grooming LLC,pet groomer,"Salem, Oregon",lauras-laundramutt-grooming-llc,"1705 25th St SE, Salem, OR 97302, USA",(503) 967-6116,,,0,4.7,125,10,A,new,,not_contacted
Cafe Soleil,cafe,"Ashland, Oregon",cafe-soleil,"250 E Wagner St, Talent, OR 97540, USA",,,,0,4.9,117,10,A,new,,not_contacted
Marlyna's Pet Grooming,pet groomer,"Portland, Oregon",marlynas-pet-grooming,"15710 NE Glisan St, Portland, OR 97230, USA",(503) 256-3402,,,0,4.8,75,6,A,new,,not_contacted
Yappy Dog Pet Grooming - Portland OR,pet groomer,"Portland, Oregon",yappy-dog-pet-grooming-portland-or,"6715 SW Beaverton Hillsdale Hwy, Portland, OR 97225, USA",(503) 477-4347,,,0,4.6,73,10,A,new,,not_contacted
Affordable Pet Grooming,pet groomer,"Salem, Oregon",affordable-pet-grooming,"5058 Commercial St SE, Salem, OR 97306, USA",(503) 391-5643,,,0,4.4,53,8,A,new,,not_contacted
Phở Keizer Vietnamese Kitchen,cafe,"Keizer, Oregon",ph-keizer-vietnamese-kitchen,"4998 River Rd N, Keizer, OR 97303, USA",(503) 390-1235,,,0,4.5,52,10,A,new,,not_contacted
