business_name,category,source_city,slug,address,phone,email,website_url,website_score,google_rating,review_count,photo_count,priority_tier,status,preview_url,outreach_status
Our Spot,cafe,"Portland, Oregon",our-spot,"1816 S River Dr, Portland, OR 97201, USA",,,,0,4.8,130,10,A,new,,not_contacted
Cafe Soleil,cafe,"Ashland, Oregon",cafe-soleil,"250 E Wagner St, Talent, OR 97540, USA",,,,0,4.9,117,10,A,new,,not_contacted
Little Espresso Shop,cafe,"Ashland, Oregon",little-espresso-shop,"515 Clover Ln, Ashland, OR 97520, USA",,,,0,4.8,48,10,A,new,,not_contacted
JT Electric,electrician,"Medford, Oregon",jt-electric,"4849 Airway Dr STE 105, Central Point, OR 97502, USA",(541) 734-5714,,,0,4.9,29,2,A,new,,not_contacted
Claws and Paws Pet Resort,daycare,"Corvallis, Oregon",claws-and-paws-pet-resort,"862 NW Oak Ave, Corvallis, OR 97330, USA",(541) 223-3608,,,0,5,18,10,A,new,,not_contacted
Eugene Heating and Air Conditioning,hvac contractor,"Eugene, Oregon",eugene-heating-and-air-conditioning,"2130 W 7th Ave, Eugene, OR 97402, USA",(541) 234-4801,,,0,4.9,17,1,A,new,,not_contacted
"Willpower Electric, LLC",electrician,"Medford, Oregon",willpower-electric-llc,"24 Ehrman Way, Medford, OR 97501, USA",(541) 535-3965,,,0,4.8,16,10,A,new,,not_contacted
Cozy Cottage Child Care,daycare,"Salem, Oregon",cozy-cottage-child-care,"882 20th St NE, Salem, OR 97301, USA",(503) 371-4841,,,0,4.6,13,10,A,new,,not_contacted
Studio 49 Photography,photography studio,"Bend, Oregon",studio-49-photography,"20240 Reed Ln Apt 148, Bend, OR 97702, USA",(541) 331-6494,,,0,4,13,10,A,new,,not_contacted
Early Learning Center,daycare,"Salem, Oregon",early-learning-center,"765 14th St NE, Salem, OR 97301, USA",(503) 391-4964,,,0,5,8,0,A,new,,not_contacted
Patty's Little Minions Childcare LLC,daycare,"Salem, Oregon",pattys-little-minions-childcare-llc,"4807 Camelot Ct NE, Salem, OR 97301, USA",(503) 881-3580,,,0,5,7,10,A,new,,not_contacted
Real Learning LLC,tutoring service,"Eugene, Oregon",real-learning-llc,"5593 Edna Way, Eugene, OR 97402, USA",(541) 636-4435,,,0,5,7,2,A,new,,not_contacted
Little Village Learning Center,daycare,"Salem, Oregon",little-village-learning-center,"445 High St SE #140, Salem, OR 97301, USA",(503) 363-3866,,,0,5,5,0,A,new,,not_contacted
Current Electric,electrician,"Medford, Oregon",current-electric,"2508 Jackson Drive, Medford, OR 97504, USA",(541) 210-0677,,,0,5,5,3,A,new,,not_contacted
The Ark Veterinary Clinic,vet,"Eugene, Oregon",the-ark-veterinary-clinic,"4965 Barger Dr, Eugene, OR 97402, USA",(541) 689-7881,,https://www.thearkclinic.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg5MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,0,4.7,814,10,B,new,,not_contacted
Dore Law Firm,law firm,"Portland, Oregon",dore-law-firm,"4511 SE 63rd Ave Suite E, Portland, OR 97206, USA",(503) 683-3642,,http://www.blakedore.com/,0,4.9,363,2,B,new,,not_contacted
BCK Attorneys at Law,law firm,"Portland, Oregon",bck-attorneys-at-law,"2722 NE 33rd Ave, Portland, OR 97212, USA",(503) 238-9720,,http://www.bckattorneys.com/,0,5,169,4,B,new,,not_contacted
Amazon Park Animal Clinic,vet,"Eugene, Oregon",amazon-park-animal-clinic,"725 E 25th Ave, Eugene, OR 97405, USA",(541) 485-0161,,http://amazonparkvet.com/,0,4.4,136,10,B,new,,not_contacted
Miranda Kelton Photography | Portrait Studio,photography studio,"Bend, Oregon",miranda-kelton-photography-portrait-studio,"20370 Empire Ave Suite C2, Bend, OR 97703, USA",(971) 337-0516,,https://www.mirandakelton.com/,0,5,128,10,B,new,,not_contacted
PureFit Lagree Studio,fitness studio,"Bend, Oregon",purefit-lagree-studio,"20370 Empire Ave Suite #C1 Suite C-1, Bend, OR 97703, USA",(541) 480-5020,,http://www.purefitlagreestudioor.com/,0,5,80,10,B,new,,not_contacted
Low Voltage NW,electrician,"Salem, Oregon",low-voltage-nw,"2837 22nd St SE #155, Salem, OR 97302, USA",(971) 273-7117,,https://www.lowvoltagenw.com/?utm_source=GMBlisting&utm_medium=organic,0,4.8,44,10,B,new,,not_contacted
Mark Thesing Inc,law firm,"Lake Oswego, Oregon",mark-thesing-inc,"4248 Galewood St, Lake Oswego, OR 97035, USA",(503) 313-8520,,https://www.deniedclaim.net/,0,4.9,31,1,B,new,,not_contacted
Quedi HVAC Solutions Eugene,hvac contractor,"Eugene, Oregon",quedi-hvac-solutions-eugene,"42 W 13th Ave, Eugene, OR 97401, USA",(541) 824-0693,,http://quedihvacsolutionseugene.online/,0,5,16,0,B,new,,not_contacted
Pacific Northwest Pilates,pilates studio,"Portland, Oregon",pacific-northwest-pilates,"5201 SW Westgate Dr #114, Portland, OR 97221, USA",(503) 292-4409,,https://www.pacificnorthwestpilates.com/,0,5,10,10,B,new,,not_contacted
Farmhouse Kitchen Thai Cuisine | Pearl District,restaurant,"Portland, Oregon",farmhouse-kitchen-thai-cuisine-pearl-district,"121 NW 9th Ave, Portland, OR 97209, USA",(971) 754-4966,,https://farmhousethai.com/pearl-district?utm_source=google,10,4.9,7480,10,B,new,,not_contacted
Vida Baking,cafe,"Ashland, Oregon",vida-baking,"149 N Pioneer St, Ashland, OR 97520, USA",(541) 708-0562,,https://vidabaking.com/?utm_source=google,10,4.8,430,10,B,new,,not_contacted
The Society Cafe,cafe,"Portland, Oregon",the-society-cafe,"203 NW 3rd Ave Suite 100, Portland, OR 97209, USA",(503) 445-0444,,https://thesocietyhotel.com/cafe/?utm_source=Google%20Maps%20-%20Locl.io&utm_medium=Website%20Button&utm_campaign=Locl.io%202019,10,4.6,347,10,B,new,,not_contacted
Portland Cà Phê,cafe,"Portland, Oregon",portland-c-ph,"2601 NE Martin Luther King Jr Blvd, Portland, OR 97212, USA",,,http://www.portlandcaphe.com/,10,4.6,177,10,B,new,,not_contacted
MOT Photography,photography studio,"Bend, Oregon",mot-photography,"19671 Hollygrape St, Bend, OR 97702, USA",(503) 830-1113,,https://www.motphotography.com/,10,5,145,10,B,new,,not_contacted
Chenoweth Law Group LLC,law firm,"Portland, Oregon",chenoweth-law-group-llc,"510 SW 5th Ave Fourth Floor, Portland, OR 97204, USA",(503) 446-6261,,https://www.chenowethlaw.com/?npcmp=dir:local:3262352:97204,10,4.3,91,2,B,new,,not_contacted
DISTINCT ELECTRIC,electrician,"Salem, Oregon",distinct-electric,"4742 Liberty Rd S #219, Salem, OR 97302, USA",(503) 586-9355,,http://distinctelectricsalem.com/,10,5,33,2,B,new,,not_contacted
Wolfe Consulting LLC,accounting firm,"Lake Oswego, Oregon",wolfe-consulting-llc,"4248 Galewood St, Lake Oswego, OR 97035, USA",(503) 631-9200,,http://www.wolfeadvisors.cpa/,10,4.5,23,10,B,new,,not_contacted
Mathnasium,tutoring service,"Eugene, Oregon",mathnasium,"1733 Pearl St ste a, Eugene, OR 97401, USA",(541) 357-5386,,https://www.mathnasium.com/math-centers/eugene?utm_source=Google+&utm_medium=Listing&utm_campaign=Google+Business+Profile,10,4.6,19,10,B,new,,not_contacted
