Business Name,Category,Phone,Website Status,Current Website,Rating,Reviews,Photos,Hours,Address,Slug
Boss Plumbing & Heating,plumber,(267) 748-4314,Bad site,https://www.bossplumbingheating.com/,4.8,227,10,Yes,"259 W Johnson St, Philadelphia, PA, 19144",boss-plumbing-heating
Main Attraction Unisex Salon,barber,N/A,Bad site,http://www.mausalon.com/,4.8,251,10,Yes,"5610 Lancaster Ave, Philadelphia, PA, 19139",main-attraction-unisex-salon
Barbershop Denim,barber,(267) 930-3980,Bad site,http://www.barbershopdenimphilly.com/,4.9,528,10,Yes,"1517 South St, Philadelphia, PA, 19146",barbershop-denim
June The Barber,barber,(215) 403-6860,Bad site,https://juniestakz.booksy.com/,4.9,137,10,Yes,"179 W Berks St, Philadelphia, PA, 19122",june-the-barber
Major League Cuts,barber,(215) 747-1119,NONE,,4.5,326,10,Yes,"5124 Market St, Philadelphia, PA, 19139",major-league-cuts
Head Game,barber,(215) 883-1597,NONE,,4.6,61,10,Yes,"5316 W Girard Ave, Philadelphia, PA, 19131",head-game
Roman’s Barbershop,barber,(445) 234-0403,Bad site,http://romansphiladelphia.com/,4.9,127,10,Yes,"2120 Walnut St First Floor, Philadelphia, PA, 19103",romans-barbershop
South Street Barbers,barber,(267) 273-1445,Bad site,http://southstreetbarbers1316.booksy.com/,4.6,419,10,Yes,"1316 South St, Philadelphia, PA, 19147",south-street-barbers
B Auto Repair Inc,auto repair,(215) 477-8575,NONE,,4.8,149,8,Yes,"1701 N 54th St #7, Philadelphia, PA, 19131",b-auto-repair-inc
United Auto Repair,auto repair,(215) 871-8440,NONE,,4.3,178,8,Yes,"6163 Lancaster Ave, Philadelphia, PA, 19151",united-auto-repair
Apache's Auto Clinic,auto repair,(215) 476-6500,NONE,,4.5,28,4,Yes,"5727 Haverford Ave #35, Philadelphia, PA, 19131",apaches-auto-clinic
Lee's Automotive Service,auto repair,(215) 879-2883,NONE,,4.5,115,5,Yes,"5947 Lancaster Ave, Philadelphia, PA, 19151",lees-automotive-service
Fitzroy's Auto Repair,auto repair,(215) 473-6565,NONE,,4.9,17,0,No,"5100 W Thompson St, Philadelphia, PA, 19131",fitzroys-auto-repair
Paco's Auto Repair shop,auto repair,(267) 748-7397,NONE,,4.8,17,4,Yes,"5302 Warren St, Philadelphia, PA, 19131",pacos-auto-repair-shop
Judge Auto Repair Inc,auto repair,(215) 528-6004,NONE,,4.5,74,10,Yes,"5804 Chestnut St, Philadelphia, PA, 19139",judge-auto-repair-inc
Ant’s Auto Repair and Tow,auto repair,(267) 774-6361,NONE,,4.7,105,10,Yes,"2750 N Broad St, Philadelphia, PA, 19132",ants-auto-repair-and-tow
S. Murphy Auto Repair,auto repair,(215) 472-2759,NONE,,4.6,199,10,Yes,"5539 Chestnut St, Philadelphia, PA, 19139",s-murphy-auto-repair
Kens Automotive,auto repair,(215) 829-9898,Bad site,http://kens-automotive.shopgenie.site/,4.8,726,10,Yes,"341 N 10th St, Philadelphia, PA, 19107",kens-automotive
DJ Tire and Auto Repair,auto repair,(215) 760-8576,NONE,,4,74,9,Yes,"6008 Lancaster Ave, Philadelphia, PA, 19151",dj-tire-and-auto-repair
BUTCH'S AUTO REPAIR SHOP,auto repair,(215) 471-5694,NONE,,4.7,49,6,Yes,"217 N Daggett St, Philadelphia, PA, 19139",butchs-auto-repair-shop
Mike's Automotive,auto repair,(215) 471-5111,NONE,,4.7,41,10,No,"427 N Gross St, Philadelphia, PA, 19151",mikes-automotive
Duran's LANDSCAPING LLC,landscaper,(267) 970-1289,Bad site,http://duranlandscapingllc.com/,4.9,40,10,Yes,"4832 N Hope St, Philadelphia, PA, 19120",durans-landscaping-llc
Bright Landscaping,landscaper,(267) 351-5557,NONE,,0,0,10,Yes,"5604 Gainor Rd, Philadelphia, PA, 19131",bright-landscaping
Moma's Care Cleaning,cleaning service,(267) 990-2478,Bad site,https://www.momascarecleaning.com/,4.5,55,10,Yes,"6140 Lansdowne Ave, Philadelphia, PA, 19151",momas-care-cleaning
Cleaning Force LLC,cleaning service,(610) 809-5003,Bad site,http://cleaningforceco.com/,4.6,45,10,Yes,"2101 N 63rd St, Philadelphia, PA, 19151",cleaning-force-llc
Top Tier Philly Cleaning Company,cleaning service,(215) 399-6743,NONE,,5,36,2,Yes,"370 W Johnson St, Philadelphia, PA, 19144",top-tier-philly-cleaning-company
Maid in Cleaning,cleaning service,(800) 782-5802,NONE,,4.9,39,0,Yes,"2449 Golf Rd #22, Philadelphia, PA, 19131",maid-in-cleaning
The Bakeshop on Twentieth,bakery,(215) 644-9714,Bad site,https://bakeshopon20th.com/?utm_source=google,4.6,433,10,Yes,"269 S 20th St, Philadelphia, PA, 19103",the-bakeshop-on-twentieth
Oteri's Italian Bakery,bakery,(215) 724-0793,Bad site,http://oterisitalianbakery.com/,4.1,359,10,Yes,"6323 Woodland Ave, Philadelphia, PA, 19142",oteris-italian-bakery
Hong Kong Bakery Shop,bakery,(215) 925-1288,NONE,,3.1,93,10,Yes,"917 Race St, Philadelphia, PA, 19107",hong-kong-bakery-shop
No Ka Oi Tiki Tattoo,tattoo parlor,(215) 925-1766,Bad site,http://www.nokaoitikitattoo.com/,4.5,458,10,Yes,"610 S 4th St, Philadelphia, PA, 19147",no-ka-oi-tiki-tattoo
Dave's Artistic Tattoo,tattoo parlor,(215) 471-3113,NONE,,4.7,388,10,Yes,"5 N 63rd St, Philadelphia, PA, 19139",daves-artistic-tattoo
J R's Tattoo & Body Piercing,tattoo parlor,(215) 474-5020,NONE,,4.3,161,10,Yes,"6110 Market St, Philadelphia, PA, 19139",j-rs-tattoo-body-piercing
VNails and Spa,nail salon,(215) 852-9475,NONE,,4.5,166,10,Yes,"5101 Walnut St Unit 3, Philadelphia, PA, 19139",vnails-and-spa
Queen Nails & Spa,nail salon,(215) 592-1629,Bad site,https://queennailsandspapa.com/,4.7,576,10,Yes,"16 N 3rd St, Philadelphia, PA, 19106",queen-nails-spa
Mai Lashes & Nail Spa,nail salon,(267) 969-5262,NONE,,4.8,319,10,Yes,"2910 S 70th St Unit 3, Philadelphia, PA, 19142",mai-lashes-nail-spa
PeCa'Le Salon,nail salon,(267) 975-1437,Bad site,https://pecalesalon.as.me/,5,534,10,Yes,"457 Fairmount Ave, Philadelphia, PA, 19123",pecale-salon
Solace Nail Salon,nail salon,(610) 968-9982,Bad site,http://solacenailsalon.com/?utm_source=gmb&utm_medium=referral,4.1,92,10,Yes,"6141 Market St, Philadelphia, PA, 19139",solace-nail-salon
T&C Nail salon,nail salon,(215) 472-4377,NONE,,4.2,133,10,Yes,"5227 Chestnut St, Philadelphia, PA, 19139",tc-nail-salon
Blossom LA Nail Bar Center City,nail salon,(215) 869-8718,Bad site,https://www.blossomlanailbar.com/,4.5,299,10,Yes,"315 S 13th St unit a, Philadelphia, PA, 19107",blossom-la-nail-bar-center-city
