business_name,category,slug,address,phone,email,website_url,website_score,google_rating,review_count,photo_count,priority_tier,status,preview_url,outreach_status
Boss Plumbing & Heating,plumber,boss-plumbing-heating,"259 W Johnson St, Philadelphia, PA 19144, USA",(267) 748-4314,,https://www.bossplumbingheating.com/,0,4.8,227,10,B,scraped,,not_contacted
Main Attraction Unisex Salon,barber,main-attraction-unisex-salon,"5610 Lancaster Ave, Philadelphia, PA 19139, USA",,,http://www.mausalon.com/,5,4.8,251,10,B,scraped,,not_contacted
Barbershop Denim,barber,barbershop-denim,"1517 South St, Philadelphia, PA 19146, USA",(267) 930-3980,,http://www.barbershopdenimphilly.com/,35,4.9,528,10,B,scraped,,not_contacted
June The Barber,barber,june-the-barber,"179 W Berks St, Philadelphia, PA 19122, USA",(215) 403-6860,,https://juniestakz.booksy.com/,35,4.9,137,10,B,scraped,,not_contacted
Major League Cuts,barber,major-league-cuts,"5124 Market St, Philadelphia, PA 19139, USA",(215) 747-1119,,,0,4.5,326,10,A,scraped,,not_contacted
Head Game,barber,head-game,"5316 W Girard Ave, Philadelphia, PA 19131, USA",(215) 883-1597,,,0,4.6,61,10,A,scraped,,not_contacted
Roman’s Barbershop,barber,romans-barbershop,"2120 Walnut St First Floor, Philadelphia, PA 19103, USA",(445) 234-0403,,http://romansphiladelphia.com/,35,4.9,127,10,B,scraped,,not_contacted
South Street Barbers,barber,south-street-barbers,"1316 South St, Philadelphia, PA 19147, USA",(267) 273-1445,,http://southstreetbarbers1316.booksy.com/,30,4.6,419,10,B,scraped,,not_contacted
B Auto Repair Inc,auto repair,b-auto-repair-inc,"1701 N 54th St #7, Philadelphia, PA 19131, USA",(215) 477-8575,,,0,4.8,149,8,A,scraped,,not_contacted
United Auto Repair,auto repair,united-auto-repair,"6163 Lancaster Ave, Philadelphia, PA 19151, USA",(215) 871-8440,,,0,4.3,178,8,A,scraped,,not_contacted
Apache's Auto Clinic,auto repair,apaches-auto-clinic,"5727 Haverford Ave #35, Philadelphia, PA 19131, USA",(215) 476-6500,,,0,4.5,28,4,A,scraped,,not_contacted
Lee's Automotive Service,auto repair,lees-automotive-service,"5947 Lancaster Ave, Philadelphia, PA 19151, USA",(215) 879-2883,,,0,4.5,115,5,A,scraped,,not_contacted
Fitzroy's Auto Repair,auto repair,fitzroys-auto-repair,"5100 W Thompson St, Philadelphia, PA 19131, USA",(215) 473-6565,,,0,4.9,17,0,A,scraped,,not_contacted
Paco's Auto Repair shop,auto repair,pacos-auto-repair-shop,"5302 Warren St, Philadelphia, PA 19131, USA",(267) 748-7397,,,0,4.8,17,4,A,scraped,,not_contacted
Judge Auto Repair Inc,auto repair,judge-auto-repair-inc,"5804 Chestnut St, Philadelphia, PA 19139, USA",(215) 528-6004,,,0,4.5,74,10,A,scraped,,not_contacted
Ant’s Auto Repair and Tow,auto repair,ants-auto-repair-and-tow,"2750 N Broad St, Philadelphia, PA 19132, USA",(267) 774-6361,,,0,4.7,105,10,A,scraped,,not_contacted
S. Murphy Auto Repair,auto repair,s-murphy-auto-repair,"5539 Chestnut St, Philadelphia, PA 19139, USA",(215) 472-2759,,,0,4.6,199,10,A,scraped,,not_contacted
