business_name,category,slug,address,phone,email,website_url,website_score,google_rating,review_count,photo_count,priority_tier,status,preview_url,outreach_status
Boss Plumbing & Heating,plumber,boss-plumbing-heating,"259 W Johnson St, Philadelphia, PA 19144, USA",(267) 748-4314,,https://www.bossplumbingheating.com/,0,4.8,227,10,B
Main Attraction Unisex Salon,barber,main-attraction-unisex-salon,"5610 Lancaster Ave, Philadelphia, PA 19139, USA",,,http://www.mausalon.com/,5,4.8,251,10,B
Barbershop Denim,barber,barbershop-denim,"1517 South St, Philadelphia, PA 19146, USA",(267) 930-3980,,http://www.barbershopdenimphilly.com/,35,4.9,528,10,B
June The Barber,barber,june-the-barber,"179 W Berks St, Philadelphia, PA 19122, USA",(215) 403-6860,,https://juniestakz.booksy.com/,35,4.9,137,10,B
Major League Cuts,barber,major-league-cuts,"5124 Market St, Philadelphia, PA 19139, USA",(215) 747-1119,,,0,4.5,326,10,A
Head Game,barber,head-game,"5316 W Girard Ave, Philadelphia, PA 19131, USA",(215) 883-1597,,,0,4.6,61,10,A
Roman’s Barbershop,barber,romans-barbershop,"2120 Walnut St First Floor, Philadelphia, PA 19103, USA",(445) 234-0403,,http://romansphiladelphia.com/,35,4.9,127,10,B
South Street Barbers,barber,south-street-barbers,"1316 South St, Philadelphia, PA 19147, USA",(267) 273-1445,,http://southstreetbarbers1316.booksy.com/,30,4.6,419,10,B
B Auto Repair Inc,auto repair,b-auto-repair-inc,"1701 N 54th St #7, Philadelphia, PA 19131, USA",(215) 477-8575,,,0,4.8,149,8,A
United Auto Repair,auto repair,united-auto-repair,"6163 Lancaster Ave, Philadelphia, PA 19151, USA",(215) 871-8440,,,0,4.3,178,8,A
Apache's Auto Clinic,auto repair,apaches-auto-clinic,"5727 Haverford Ave #35, Philadelphia, PA 19131, USA",(215) 476-6500,,,0,4.5,28,4,A
Lee's Automotive Service,auto repair,lees-automotive-service,"5947 Lancaster Ave, Philadelphia, PA 19151, USA",(215) 879-2883,,,0,4.5,115,5,A
Fitzroy's Auto Repair,auto repair,fitzroys-auto-repair,"5100 W Thompson St, Philadelphia, PA 19131, USA",(215) 473-6565,,,0,4.9,17,0,A
Paco's Auto Repair shop,auto repair,pacos-auto-repair-shop,"5302 Warren St, Philadelphia, PA 19131, USA",(267) 748-7397,,,0,4.8,17,4,A
Judge Auto Repair Inc,auto repair,judge-auto-repair-inc,"5804 Chestnut St, Philadelphia, PA 19139, USA",(215) 528-6004,,,0,4.5,74,10,A
Ant’s Auto Repair and Tow,auto repair,ants-auto-repair-and-tow,"2750 N Broad St, Philadelphia, PA 19132, USA",(267) 774-6361,,,0,4.7,105,10,A
S. Murphy Auto Repair,auto repair,s-murphy-auto-repair,"5539 Chestnut St, Philadelphia, PA 19139, USA",(215) 472-2759,,,0,4.6,199,10,A
Kens Automotive,auto repair,kens-automotive,"341 N 10th St, Philadelphia, PA 19107, USA",(215) 829-9898,,http://kens-automotive.shopgenie.site/,10,4.8,726,10,B
DJ Tire and Auto Repair,auto repair,dj-tire-and-auto-repair,"6008 Lancaster Ave, Philadelphia, PA 19151, USA",(215) 760-8576,,,0,4,74,9,A
BUTCH'S AUTO REPAIR SHOP,auto repair,butchs-auto-repair-shop,"217 N Daggett St, Philadelphia, PA 19139, USA",(215) 471-5694,,,0,4.7,49,6,A
Mike's Automotive,auto repair,mikes-automotive,"427 N Gross St, Philadelphia, PA 19151, USA",(215) 471-5111,,,0,4.7,41,10,A
Duran's LANDSCAPING LLC,landscaper,durans-landscaping-llc,"4832 N Hope St, Philadelphia, PA 19120, USA",(267) 970-1289,,http://duranlandscapingllc.com/,35,4.9,40,10,B
Bright Landscaping,landscaper,bright-landscaping,"5604 Gainor Rd, Philadelphia, PA 19131, USA",(267) 351-5557,,,0,0,0,10,A
Moma's Care Cleaning,cleaning service,momas-care-cleaning,"6140 Lansdowne Ave, Philadelphia, PA 19151, USA",(267) 990-2478,,https://www.momascarecleaning.com/,0,4.5,55,10,B
Cleaning Force LLC,cleaning service,cleaning-force-llc,"2101 N 63rd St, Philadelphia, PA 19151, USA",(610) 809-5003,,http://cleaningforceco.com/,10,4.6,45,10,B
Top Tier Philly Cleaning Company,cleaning service,top-tier-philly-cleaning-company,"370 W Johnson St, Philadelphia, PA 19144, USA",(215) 399-6743,,,0,5,36,2,A
Maid in Cleaning,cleaning service,maid-in-cleaning,"2449 Golf Rd #22, Philadelphia, PA 19131, USA",(800) 782-5802,,,0,4.9,39,0,A
The Bakeshop on Twentieth,bakery,the-bakeshop-on-twentieth,"269 S 20th St, Philadelphia, PA 19103, USA",(215) 644-9714,,https://bakeshopon20th.com/?utm_source=google,10,4.6,433,10,B
Oteri's Italian Bakery,bakery,oteris-italian-bakery,"6323 Woodland Ave, Philadelphia, PA 19142, USA",(215) 724-0793,,http://oterisitalianbakery.com/,20,4.1,359,10,B
Hong Kong Bakery Shop,bakery,hong-kong-bakery-shop,"917 Race St, Philadelphia, PA 19107, USA",(215) 925-1288,,,0,3.1,93,10,A
No Ka Oi Tiki Tattoo,tattoo parlor,no-ka-oi-tiki-tattoo,"610 S 4th St, Philadelphia, PA 19147, USA",(215) 925-1766,,http://www.nokaoitikitattoo.com/,35,4.5,458,10,B
Dave's Artistic Tattoo,tattoo parlor,daves-artistic-tattoo,"5 N 63rd St, Philadelphia, PA 19139, USA",(215) 471-3113,,,0,4.7,388,10,A
